Generated Airfoil
1.000000 -0.005369
0.999848 -0.005358
0.995973 -0.004926
0.992156 -0.004524
0.988013 -0.004102
0.984267 -0.003666
0.980366 -0.003240
0.976440 -0.002782
0.972340 -0.002335
0.968495 -0.001860
0.964686 -0.001408
0.960702 -0.000869
0.956893 -0.000359
0.953011 0.000134
0.948905 0.000659
0.945166 0.001170
0.941270 0.001710
0.937252 0.002251
0.933445 0.002797
0.929353 0.003347
0.925382 0.003917
0.921523 0.004507
0.917635 0.005077
0.913731 0.005671
0.909992 0.006254
0.906090 0.006857
0.902210 0.007432
0.898138 0.008063
0.894238 0.008681
0.890253 0.009359
0.886357 0.009987
0.882493 0.010633
0.878656 0.011292
0.874732 0.011919
0.870707 0.012577
0.866720 0.013265
0.862958 0.013932
0.858947 0.014626
0.855048 0.015273
0.851289 0.015947
0.847255 0.016629
0.843365 0.017315
0.839378 0.017992
0.835585 0.018724
0.831790 0.019421
0.827769 0.020127
0.823825 0.020809
0.819992 0.021519
0.816020 0.022234
0.812091 0.022942
0.808091 0.023679
0.804207 0.024371
0.800389 0.025115
0.796407 0.025831
0.792484 0.026569
0.788645 0.027311
0.784814 0.028040
0.780733 0.028763
0.776872 0.029490
0.772998 0.030230
0.768959 0.030999
0.765163 0.031754
0.761165 0.032498
0.757377 0.033261
0.753490 0.033972
0.749410 0.034753
0.745718 0.035518
0.741567 0.036272
0.737801 0.037020
0.733847 0.037767
0.730016 0.038531
0.726064 0.039269
0.722062 0.040061
0.718249 0.040830
0.714396 0.041564
0.710303 0.042337
0.706455 0.043087
0.702645 0.043855
0.698612 0.044621
0.694584 0.045365
0.690767 0.046182
0.687010 0.046934
0.682987 0.047703
0.679004 0.048473
0.675232 0.049251
0.671251 0.050051
0.667407 0.050766
0.663337 0.051582
0.659588 0.052316
0.655683 0.053128
0.651776 0.053890
0.647767 0.054674
0.643907 0.055408
0.639898 0.056198
0.636090 0.056989
0.632057 0.057757
0.628210 0.058529
0.624359 0.059308
0.620462 0.060057
0.616425 0.060849
0.612597 0.061610
0.608772 0.062377
0.604878 0.063158
0.600873 0.063924
0.596976 0.064642
0.593104 0.065427
0.589010 0.066233
0.585173 0.066975
0.581181 0.067816
0.577288 0.068563
0.573337 0.069358
0.569584 0.070083
0.565546 0.070869
0.561651 0.071649
0.557858 0.072409
0.553879 0.073168
0.550055 0.073966
0.546033 0.074706
0.542108 0.075470
0.538244 0.076208
0.534354 0.076995
0.530364 0.077753
0.526361 0.078512
0.522634 0.079267
0.518773 0.080025
0.514694 0.080766
0.510865 0.081549
0.506903 0.082298
0.502977 0.083037
0.499123 0.083761
0.495249 0.084535
0.491194 0.085243
0.487356 0.086001
0.483400 0.086749
0.479539 0.087455
0.475619 0.088181
0.471603 0.088942
0.467734 0.089663
0.463813 0.090411
0.460014 0.091139
0.456026 0.091866
0.452163 0.092606
0.448291 0.093305
0.444262 0.094015
0.440443 0.094736
0.436548 0.095442
0.432553 0.096139
0.428697 0.096843
0.424751 0.097527
0.420940 0.098263
0.416956 0.098980
0.413064 0.099638
0.409108 0.100370
0.405203 0.101093
0.401331 0.101796
0.397428 0.102490
0.393391 0.103141
0.389593 0.103799
0.385557 0.104520
0.381764 0.105151
0.377808 0.105853
0.373958 0.106536
0.369951 0.107198
0.366088 0.107884
0.362190 0.108528
0.358268 0.109203
0.354369 0.109896
0.350381 0.110549
0.346501 0.111264
0.342660 0.111921
0.338743 0.112512
0.334834 0.113200
0.330946 0.113825
0.326862 0.114459
0.323072 0.115097
0.319194 0.115753
0.315240 0.116351
0.311226 0.117016
0.307314 0.117611
0.303559 0.118250
0.299571 0.118883
0.295587 0.119507
0.291732 0.120125
0.287772 0.120757
0.283820 0.121366
0.280023 0.121947
0.276151 0.122546
0.272149 0.123107
0.268211 0.123695
0.264299 0.124268
0.260339 0.124845
0.256589 0.125437
0.252560 0.126031
0.248705 0.126589
0.244767 0.127181
0.240837 0.127759
0.236960 0.128294
0.233110 0.128863
0.229165 0.129492
0.225232 0.129977
0.221253 0.130545
0.217346 0.131064
0.213466 0.131614
0.209465 0.132137
0.205674 0.132681
0.201705 0.133170
0.197902 0.133728
0.193921 0.134212
0.189959 0.134711
0.186031 0.135236
0.182153 0.135810
0.178235 0.136279
0.174363 0.136829
0.170444 0.137346
0.166406 0.137814
0.162605 0.138313
0.158705 0.138787
0.154740 0.139253
0.150848 0.139708
0.146887 0.140152
0.143032 0.140612
0.139058 0.141108
0.135130 0.141547
0.131297 0.142040
0.127326 0.142535
0.123496 0.142988
0.119535 0.143425
0.115717 0.143930
0.111670 0.144357
0.107796 0.144805
0.103892 0.145267
0.100025 0.145676
0.096012 0.146055
0.092124 0.146482
0.088290 0.146811
0.084346 0.147247
0.080393 0.147662
0.076526 0.148082
0.072608 0.148430
0.068586 0.148875
0.064784 0.149256
0.060778 0.149646
0.056962 0.150063
0.053091 0.150455
0.049080 0.150845
0.045176 0.151206
0.041236 0.151566
0.037357 0.151894
0.033381 0.152277
0.029482 0.152541
0.025621 0.152937
0.021701 0.153287
0.017828 0.153607
0.013835 0.153943
0.009957 0.154257
0.006108 0.154627
0.002149 0.154999
-0.001749 0.155309
-0.005697 0.155593
-0.009539 0.155955
-0.013474 0.156270
-0.017389 0.156504
-0.021286 0.156793
-0.025217 0.157048
-0.029203 0.157306
-0.033123 0.157632
-0.036940 0.157898
-0.040977 0.158157
-0.044888 0.158410
-0.048732 0.158667
-0.052636 0.158945
-0.056614 0.159226
-0.060446 0.159447
-0.064430 0.159730
-0.068336 0.159976
-0.072262 0.160220
-0.076125 0.160442
-0.080012 0.160671
-0.083941 0.160877
-0.087812 0.161063
-0.091832 0.161302
-0.095708 0.161488
-0.099606 0.161712
-0.103577 0.161887
-0.107448 0.162084
-0.111397 0.162245
-0.115269 0.162461
-0.119126 0.162593
-0.123030 0.162780
-0.127003 0.162974
-0.130960 0.163157
-0.134845 0.163269
-0.138739 0.163458
-0.142597 0.163596
-0.146621 0.163662
-0.150519 0.163811
-0.154460 0.163947
-0.158377 0.164066
-0.162293 0.164157
-0.166170 0.164285
-0.170044 0.164357
-0.174029 0.164479
-0.177851 0.164623
-0.181829 0.164726
-0.185674 0.164820
-0.189607 0.164972
-0.193536 0.165051
-0.197401 0.165130
-0.201320 0.165166
-0.205245 0.165254
-0.209266 0.165268
-0.213175 0.165289
-0.216987 0.165351
-0.220898 0.165335
-0.224834 0.165427
-0.228822 0.165462
-0.232634 0.165435
-0.236620 0.165495
-0.240581 0.165513
-0.244513 0.165569
-0.248379 0.165583
-0.252322 0.165586
-0.256182 0.165554
-0.260085 0.165561
-0.263984 0.165529
-0.267962 0.165534
-0.271855 0.165477
-0.275804 0.165440
-0.279677 0.165397
-0.283543 0.165397
-0.287430 0.165362
-0.291372 0.165332
-0.295344 0.165282
-0.299250 0.165240
-0.303084 0.165154
-0.307009 0.165092
-0.310992 0.165027
-0.314865 0.164939
-0.318838 0.164882
-0.322681 0.164732
-0.326598 0.164657
-0.330544 0.164524
-0.334419 0.164403
-0.338364 0.164292
-0.342247 0.164182
-0.346155 0.164027
-0.350083 0.163888
-0.354064 0.163813
